home_team,away_team,home_goals,away_goals,date,year,stage,decided_by,home_penalty,away_penalty,stage_order,result,total_goals,goal_diff,btts,attendance
United States,Belgium,3,0,1930-07-13,1930,Group stage,Normal Time,,,0.0,H,3,3,0,88966.0
France,Mexico,4,1,1930-07-13,1930,Group stage,Normal Time,,,0.0,H,5,3,1,44137.0
Yugoslavia,Brazil,2,1,1930-07-14,1930,Group stage,Normal Time,,,0.0,H,3,1,1,68294.0
Romania,Peru,3,1,1930-07-14,1930,Group stage,Normal Time,,,0.0,H,4,2,1,88966.0
Argentina,France,1,0,1930-07-15,1930,Group stage,Normal Time,,,0.0,H,1,1,0,44198.0
Chile,Mexico,3,0,1930-07-16,1930,Group stage,Normal Time,,,0.0,H,3,3,0,68895.0
Yugoslavia,Bolivia,4,0,1930-07-17,1930,Group stage,Normal Time,,,0.0,H,4,4,0,43893.0
United States,Paraguay,3,0,1930-07-17,1930,Group stage,Normal Time,,,0.0,H,3,3,0,88235.0
Uruguay,Peru,1,0,1930-07-18,1930,Group stage,Normal Time,,,0.0,H,1,1,0,44667.0
Chile,France,1,0,1930-07-19,1930,Group stage,Normal Time,,,0.0,H,1,1,0,83720.0
Argentina,Mexico,6,3,1930-07-19,1930,Group stage,Normal Time,,,0.0,H,9,3,1,42523.0
Brazil,Bolivia,4,0,1930-07-20,1930,Group stage,Normal Time,,,0.0,H,4,4,0,43847.0
Paraguay,Belgium,1,0,1930-07-20,1930,Group stage,Normal Time,,,0.0,H,1,1,0,40989.0
Uruguay,Romania,4,0,1930-07-21,1930,Group stage,Normal Time,,,0.0,H,4,4,0,65985.0
Argentina,Chile,3,1,1930-07-22,1930,Group stage,Normal Time,,,0.0,H,4,2,1,44846.0
Argentina,United States,6,1,1930-07-26,1930,Semi-finals,Normal Time,,,0.0,H,7,5,1,45032.0
Uruguay,Yugoslavia,6,1,1930-07-27,1930,Semi-finals,Normal Time,,,0.0,H,7,5,1,44097.0
Uruguay,Argentina,4,2,1930-07-30,1930,Final,Normal Time,,,6.0,H,6,2,1,43443.0
Czechoslovakia,Romania,2,1,1934-05-27,1934,Round of 16,Normal Time,,,2.0,H,3,1,1,85986.0
Hungary,Egypt,4,2,1934-05-27,1934,Round of 16,Normal Time,,,2.0,H,6,2,1,41378.0
Austria,France,3,2,1934-05-27,1934,Round of 16,Normal Time,,,2.0,H,5,1,1,43102.0
Switzerland,Netherlands,3,2,1934-05-27,1934,Round of 16,Normal Time,,,2.0,H,5,1,1,43984.0
Sweden,Argentina,3,2,1934-05-27,1934,Round of 16,Normal Time,,,2.0,H,5,1,1,67054.0
Spain,Brazil,3,1,1934-05-27,1934,Round of 16,Normal Time,,,2.0,H,4,2,1,44851.0
Germany,Belgium,5,2,1934-05-27,1934,Round of 16,Normal Time,,,2.0,H,7,3,1,41232.0
Italy,United States,7,1,1934-05-27,1934,Round of 16,Normal Time,,,2.0,H,8,6,1,43627.0
Austria,Hungary,2,1,1934-05-31,1934,Quarter-finals,Normal Time,,,0.0,H,3,1,1,84985.0
Czechoslovakia,Switzerland,3,2,1934-05-31,1934,Quarter-finals,Normal Time,,,0.0,H,5,1,1,44089.0
Italy,Spain,1,1,1934-05-31,1934,Quarter-finals,Normal Time,,,0.0,D,2,0,1,44569.0
Germany,Sweden,2,1,1934-05-31,1934,Quarter-finals,Normal Time,,,0.0,H,3,1,1,66784.0
Italy,Spain,1,0,1934-06-01,1934,Quarter-finals,Normal Time,,,0.0,H,1,1,0,42127.0
Czechoslovakia,Germany,3,1,1934-06-03,1934,Semi-finals,Normal Time,,,0.0,H,4,2,1,44297.0
Italy,Austria,1,0,1934-06-03,1934,Semi-finals,Normal Time,,,0.0,H,1,1,0,39789.0
Germany,Austria,3,2,1934-06-07,1934,Third-place match,Normal Time,,,0.0,H,5,1,1,43983.0
Italy,Czechoslovakia,2,1,1934-06-10,1934,Final,Normal Time,,,6.0,H,3,1,1,43649.0
Switzerland,Germany,1,1,1938-06-04,1938,Round of 16,Normal Time,,,2.0,D,2,0,1,88668.0
Italy,Norway,2,1,1938-06-05,1938,Round of 16,Normal Time,,,2.0,H,3,1,1,41479.0
Cuba,Romania,3,3,1938-06-05,1938,Round of 16,Normal Time,,,2.0,D,6,0,1,43738.0
Hungary,Dutch East Indies,6,0,1938-06-05,1938,Round of 16,Normal Time,,,2.0,H,6,6,0,44374.0
France,Belgium,3,1,1938-06-05,1938,Round of 16,Normal Time,,,2.0,H,4,2,1,68895.0
Brazil,Poland,6,5,1938-06-05,1938,Round of 16,Normal Time,,,2.0,H,11,1,1,41823.0
