match_id,competition,season,date,kickoff_time,kickoff_datetime,stage_raw,stage,stage_order,matchday,group,leg,is_qualifier,neutral,home_team_id,away_team_id,home_team,away_team,home_team_raw,away_team_raw,home_country_code,away_country_code,home_goals,away_goals,home_goals_final,away_goals_final,home_goals_ht,away_goals_ht,home_penalty,away_penalty,decided_by,result,total_goals,goal_diff,btts,home_elo_pre,away_elo_pre,elo_diff_pre,home_matches_before,away_matches_before,score_raw,source_file,source_line,source_commit
UCL-2011-12-M-0001,UEFA Champions League,2011-12,2011-09-13,20:45,2011-09-13T20:45:00,Group E,group_stage,3,,E,not_applicable,0,0,ucl-chelsea-fc,ucl-bayer-leverkusen,Chelsea FC,Bayer Leverkusen,Chelsea FC,Bayer Leverkusen,ENG,GER,2,0,2,0,0,0,,,Normal Time,H,2,2,0,1500.0,1500.0,65.0,0,0,2-0 (0-0),2011-12/cl.txt,95,abfaeddc2ee3d14f99ecc163c9ddb46cb4d67cef
UCL-2011-12-M-0002,UEFA Champions League,2011-12,2011-09-13,20:45,2011-09-13T20:45:00,Group E,group_stage,3,,E,not_applicable,0,0,ucl-krc-genk,ucl-valencia-cf,KRC Genk,Valencia CF,KRC Genk,Valencia CF,BEL,ESP,0,0,0,0,,,,,Normal Time,D,0,0,0,1500.0,1500.0,65.0,0,0,0-0,2011-12/cl.txt,96,abfaeddc2ee3d14f99ecc163c9ddb46cb4d67cef
UCL-2011-12-M-0003,UEFA Champions League,2011-12,2011-09-13,20:45,2011-09-13T20:45:00,Group F,group_stage,3,,F,not_applicable,0,0,ucl-borussia-dortmund,ucl-arsenal-fc,Borussia Dortmund,Arsenal FC,Borussia Dortmund,Arsenal FC,GER,ENG,1,1,1,1,0,1,,,Normal Time,D,2,0,1,1500.0,1500.0,65.0,0,0,1-1 (0-1),2011-12/cl.txt,116,abfaeddc2ee3d14f99ecc163c9ddb46cb4d67cef
UCL-2011-12-M-0004,UEFA Champions League,2011-12,2011-09-13,20:45,2011-09-13T20:45:00,Group F,group_stage,3,,F,not_applicable,0,0,ucl-olympiacos,ucl-olympique-marseille,Olympiacos,Olympique Marseille,Olympiakos Piraeus,Olympique Marseille,GRE,FRA,0,1,0,1,0,0,,,Normal Time,A,1,-1,0,1500.0,1500.0,65.0,0,0,0-1 (0-0),2011-12/cl.txt,117,abfaeddc2ee3d14f99ecc163c9ddb46cb4d67cef
UCL-2011-12-M-0005,UEFA Champions League,2011-12,2011-09-13,20:45,2011-09-13T20:45:00,Group G,group_stage,3,,G,not_applicable,0,0,ucl-apoel-nikosia,ucl-zenit-st-petersburg,APOEL Nikosia,Zenit St. Petersburg,APOEL Nikosia,Zenit St. Petersburg,CYP,RUS,2,1,2,1,0,0,,,Normal Time,H,3,1,1,1500.0,1500.0,65.0,0,0,2-1 (0-0),2011-12/cl.txt,137,abfaeddc2ee3d14f99ecc163c9ddb46cb4d67cef
UCL-2011-12-M-0006,UEFA Champions League,2011-12,2011-09-13,20:45,2011-09-13T20:45:00,Group G,group_stage,3,,G,not_applicable,0,0,ucl-fc-porto,ucl-shakhtar-donetsk,FC Porto,Shakhtar Donetsk,FC Porto,Shakhtar Donetsk,POR,UKR,2,1,2,1,1,1,,,Normal Time,H,3,1,1,1500.0,1500.0,65.0,0,0,2-1 (1-1),2011-12/cl.txt,138,abfaeddc2ee3d14f99ecc163c9ddb46cb4d67cef
UCL-2011-12-M-0007,UEFA Champions League,2011-12,2011-09-13,20:45,2011-09-13T20:45:00,Group H,group_stage,3,,H,not_applicable,0,0,ucl-fc-barcelona,ucl-ac-milan,FC Barcelona,AC Milan,FC Barcelona,AC Milan,ESP,ITA,2,2,2,2,1,1,,,Normal Time,D,4,0,1,1500.0,1500.0,65.0,0,0,2-2 (1-1),2011-12/cl.txt,158,abfaeddc2ee3d14f99ecc163c9ddb46cb4d67cef
UCL-2011-12-M-0008,UEFA Champions League,2011-12,2011-09-13,20:45,2011-09-13T20:45:00,Group H,group_stage,3,,H,not_applicable,0,0,ucl-viktoria-plzen,ucl-bate-borisov,Viktoria Plzeň,BATE Borisov,Viktoria Plzeň,BATE Borisov,CZE,BLR,1,1,1,1,1,0,,,Normal Time,D,2,0,1,1500.0,1500.0,65.0,0,0,1-1 (1-0),2011-12/cl.txt,159,abfaeddc2ee3d14f99ecc163c9ddb46cb4d67cef
UCL-2011-12-M-0009,UEFA Champions League,2011-12,2011-09-14,20:45,2011-09-14T20:45:00,Group A,group_stage,3,,A,not_applicable,0,0,ucl-manchester-city,ucl-ssc-napoli,Manchester City,SSC Napoli,Manchester City,SSC Napoli,ENG,ITA,1,1,1,1,0,0,,,Normal Time,D,2,0,1,1500.0,1500.0,65.0,0,0,1-1 (0-0),2011-12/cl.txt,11,abfaeddc2ee3d14f99ecc163c9ddb46cb4d67cef
UCL-2011-12-M-0010,UEFA Champions League,2011-12,2011-09-14,20:45,2011-09-14T20:45:00,Group A,group_stage,3,,A,not_applicable,0,0,ucl-villarreal-cf,ucl-bayern-munich,Villarreal CF,Bayern Munich,Villarreal CF,Bayern München,ESP,GER,0,2,0,2,0,1,,,Normal Time,A,2,-2,0,1500.0,1500.0,65.0,0,0,0-2 (0-1),2011-12/cl.txt,12,abfaeddc2ee3d14f99ecc163c9ddb46cb4d67cef
