home_team,away_team,home_goals,away_goals,date,year,stage,decided_by,home_penalty,away_penalty,stage_order,result,total_goals,goal_diff,btts,attendance
Chelsea FC,Bayer Leverkusen,2,0,2011-09-13,2011,group_stage,Normal Time,,,3,H,2,2,0,
KRC Genk,Valencia CF,0,0,2011-09-13,2011,group_stage,Normal Time,,,3,D,0,0,0,
Borussia Dortmund,Arsenal FC,1,1,2011-09-13,2011,group_stage,Normal Time,,,3,D,2,0,1,
Olympiacos,Olympique Marseille,0,1,2011-09-13,2011,group_stage,Normal Time,,,3,A,1,-1,0,
APOEL Nikosia,Zenit St. Petersburg,2,1,2011-09-13,2011,group_stage,Normal Time,,,3,H,3,1,1,
FC Porto,Shakhtar Donetsk,2,1,2011-09-13,2011,group_stage,Normal Time,,,3,H,3,1,1,
FC Barcelona,AC Milan,2,2,2011-09-13,2011,group_stage,Normal Time,,,3,D,4,0,1,
Viktoria Plzeň,BATE Borisov,1,1,2011-09-13,2011,group_stage,Normal Time,,,3,D,2,0,1,
Manchester City,SSC Napoli,1,1,2011-09-14,2011,group_stage,Normal Time,,,3,D,2,0,1,
Villarreal CF,Bayern Munich,0,2,2011-09-14,2011,group_stage,Normal Time,,,3,A,2,-2,0,
Lille OSC,CSKA Moskva,2,2,2011-09-14,2011,group_stage,Normal Time,,,3,D,4,0,1,
Inter Milan,Trabzonspor,0,1,2011-09-14,2011,group_stage,Normal Time,,,3,A,1,-1,0,
FC Basel 1893,Oţelul Galaţi,2,1,2011-09-14,2011,group_stage,Normal Time,,,3,H,3,1,1,
Benfica,Manchester United,1,1,2011-09-14,2011,group_stage,Normal Time,,,3,D,2,0,1,
AFC Ajax,Olympique Lyonnais,0,0,2011-09-14,2011,group_stage,Normal Time,,,3,D,0,0,0,
Dinamo Zagreb,Real Madrid,0,1,2011-09-14,2011,group_stage,Normal Time,,,3,A,1,-1,0,
CSKA Moskva,Inter Milan,2,3,2011-09-27,2011,group_stage,Normal Time,,,3,A,5,-1,1,
Bayern Munich,Manchester City,2,0,2011-09-27,2011,group_stage,Normal Time,,,3,H,2,2,0,
SSC Napoli,Villarreal CF,2,0,2011-09-27,2011,group_stage,Normal Time,,,3,H,2,2,0,
Trabzonspor,Lille OSC,1,1,2011-09-27,2011,group_stage,Normal Time,,,3,D,2,0,1,
Manchester United,FC Basel 1893,3,3,2011-09-27,2011,group_stage,Normal Time,,,3,D,6,0,1,
Oţelul Galaţi,Benfica,0,1,2011-09-27,2011,group_stage,Normal Time,,,3,A,1,-1,0,
Olympique Lyonnais,Dinamo Zagreb,2,0,2011-09-27,2011,group_stage,Normal Time,,,3,H,2,2,0,
Real Madrid,AFC Ajax,3,0,2011-09-27,2011,group_stage,Normal Time,,,3,H,3,3,0,
Zenit St. Petersburg,FC Porto,3,1,2011-09-28,2011,group_stage,Normal Time,,,3,H,4,2,1,
Bayer Leverkusen,KRC Genk,2,0,2011-09-28,2011,group_stage,Normal Time,,,3,H,2,2,0,
Valencia CF,Chelsea FC,1,1,2011-09-28,2011,group_stage,Normal Time,,,3,D,2,0,1,
Arsenal FC,Olympiacos,2,1,2011-09-28,2011,group_stage,Normal Time,,,3,H,3,1,1,
Olympique Marseille,Borussia Dortmund,3,0,2011-09-28,2011,group_stage,Normal Time,,,3,H,3,3,0,
Shakhtar Donetsk,APOEL Nikosia,1,1,2011-09-28,2011,group_stage,Normal Time,,,3,D,2,0,1,
AC Milan,Viktoria Plzeň,2,0,2011-09-28,2011,group_stage,Normal Time,,,3,H,2,2,0,
BATE Borisov,FC Barcelona,0,5,2011-09-28,2011,group_stage,Normal Time,,,3,A,5,-5,0,
CSKA Moskva,Trabzonspor,3,0,2011-10-18,2011,group_stage,Normal Time,,,3,H,3,3,0,
Manchester City,Villarreal CF,2,1,2011-10-18,2011,group_stage,Normal Time,,,3,H,3,1,1,
SSC Napoli,Bayern Munich,1,1,2011-10-18,2011,group_stage,Normal Time,,,3,D,2,0,1,
Lille OSC,Inter Milan,0,1,2011-10-18,2011,group_stage,Normal Time,,,3,A,1,-1,0,
FC Basel 1893,Benfica,0,2,2011-10-18,2011,group_stage,Normal Time,,,3,A,2,-2,0,
Oţelul Galaţi,Manchester United,0,2,2011-10-18,2011,group_stage,Normal Time,,,3,A,2,-2,0,
Dinamo Zagreb,AFC Ajax,0,2,2011-10-18,2011,group_stage,Normal Time,,,3,A,2,-2,0,
Real Madrid,Olympique Lyonnais,4,0,2011-10-18,2011,group_stage,Normal Time,,,3,H,4,4,0,
Bayer Leverkusen,Valencia CF,2,1,2011-10-19,2011,group_stage,Normal Time,,,3,H,3,1,1,
Chelsea FC,KRC Genk,5,0,2011-10-19,2011,group_stage,Normal Time,,,3,H,5,5,0,
Olympiacos,Borussia Dortmund,3,1,2011-10-19,2011,group_stage,Normal Time,,,3,H,4,2,1,
Olympique Marseille,Arsenal FC,0,1,2011-10-19,2011,group_stage,Normal Time,,,3,A,1,-1,0,
FC Porto,APOEL Nikosia,1,1,2011-10-19,2011,group_stage,Normal Time,,,3,D,2,0,1,
Shakhtar Donetsk,Zenit St. Petersburg,2,2,2011-10-19,2011,group_stage,Normal Time,,,3,D,4,0,1,
AC Milan,BATE Borisov,2,0,2011-10-19,2011,group_stage,Normal Time,,,3,H,2,2,0,
FC Barcelona,Viktoria Plzeň,2,0,2011-10-19,2011,group_stage,Normal Time,,,3,H,2,2,0,
Zenit St. Petersburg,Shakhtar Donetsk,1,0,2011-11-01,2011,group_stage,Normal Time,,,3,H,1,1,0,
BATE Borisov,AC Milan,1,1,2011-11-01,2011,group_stage,Normal Time,,,3,D,2,0,1,
KRC Genk,Chelsea FC,1,1,2011-11-01,2011,group_stage,Normal Time,,,3,D,2,0,1,
Valencia CF,Bayer Leverkusen,3,1,2011-11-01,2011,group_stage,Normal Time,,,3,H,4,2,1,
Arsenal FC,Olympique Marseille,0,0,2011-11-01,2011,group_stage,Normal Time,,,3,D,0,0,0,
Borussia Dortmund,Olympiacos,1,0,2011-11-01,2011,group_stage,Normal Time,,,3,H,1,1,0,
APOEL Nikosia,FC Porto,2,1,2011-11-01,2011,group_stage,Normal Time,,,3,H,3,1,1,
Viktoria Plzeň,FC Barcelona,0,4,2011-11-01,2011,group_stage,Normal Time,,,3,A,4,-4,0,
Bayern Munich,SSC Napoli,3,2,2011-11-02,2011,group_stage,Normal Time,,,3,H,5,1,1,
Villarreal CF,Manchester City,0,3,2011-11-02,2011,group_stage,Normal Time,,,3,A,3,-3,0,
Trabzonspor,CSKA Moskva,0,0,2011-11-02,2011,group_stage,Normal Time,,,3,D,0,0,0,
Inter Milan,Lille OSC,2,1,2011-11-02,2011,group_stage,Normal Time,,,3,H,3,1,1,
Manchester United,Oţelul Galaţi,2,0,2011-11-02,2011,group_stage,Normal Time,,,3,H,2,2,0,
Benfica,FC Basel 1893,1,1,2011-11-02,2011,group_stage,Normal Time,,,3,D,2,0,1,
AFC Ajax,Dinamo Zagreb,4,0,2011-11-02,2011,group_stage,Normal Time,,,3,H,4,4,0,
Olympique Lyonnais,Real Madrid,0,2,2011-11-02,2011,group_stage,Normal Time,,,3,A,2,-2,0,
CSKA Moskva,Lille OSC,0,2,2011-11-22,2011,group_stage,Normal Time,,,3,A,2,-2,0,
Bayern Munich,Villarreal CF,3,1,2011-11-22,2011,group_stage,Normal Time,,,3,H,4,2,1,
SSC Napoli,Manchester City,2,1,2011-11-22,2011,group_stage,Normal Time,,,3,H,3,1,1,
Trabzonspor,Inter Milan,1,1,2011-11-22,2011,group_stage,Normal Time,,,3,D,2,0,1,
Manchester United,Benfica,2,2,2011-11-22,2011,group_stage,Normal Time,,,3,D,4,0,1,
Oţelul Galaţi,FC Basel 1893,2,3,2011-11-22,2011,group_stage,Normal Time,,,3,A,5,-1,1,
Olympique Lyonnais,AFC Ajax,0,0,2011-11-22,2011,group_stage,Normal Time,,,3,D,0,0,0,
