season,scope,matches,teams,home_wins,draws,away_wins,goals,goals_per_match
2011-12,main,125,32,62,32,31,344,2.752
2012-13,main,125,32,58,27,40,368,2.944
2013-14,main,125,32,62,24,39,359,2.872
2014-15,main,125,32,63,28,34,359,2.872
2015-16,main,125,32,67,26,32,345,2.76
2016-17,main,125,32,55,33,37,377,3.016
2017-18,main,125,32,56,26,43,401,3.208
2018-19,main,125,32,57,27,41,365,2.92
2019-20,main,119,32,52,23,44,382,3.21
2020-21,main,125,32,51,24,50,364,2.912
2021-22,main,125,32,56,26,43,378,3.024
2022-23,main,125,32,61,26,38,372,2.976
2023-24,main,125,32,60,27,38,375,3.0
2024-25,main,189,36,97,26,66,618,3.27
2024-25,qualifier,90,52,43,18,29,259,2.878
2025-26,main,189,36,94,34,61,651,3.444
2025-26,qualifier,92,53,46,20,26,235,2.554
