raw_name,canonical_name,team_id,association_code
1. FC Union Berlin,1. FC Union Berlin,ucl-1-fc-union-berlin,GER
1899 Hoffenheim,1899 Hoffenheim,ucl-1899-hoffenheim,GER
AC Milan,AC Milan,ucl-ac-milan,ITA
AC Sparta Praha,AC Sparta Praha,ucl-ac-sparta-praha,CZE
AEK Athen,AEK Athen,ucl-aek-athen,GRE
AFC Ajax,AFC Ajax,ucl-afc-ajax,NED
APOEL Nikosia,APOEL Nikosia,ucl-apoel-nikosia,CYP
AS Monaco,AS Monaco,ucl-as-monaco,MCO
AS Monaco FC,AS Monaco,ucl-as-monaco,MCO
AS Roma,AS Roma,ucl-as-roma,ITA
Arsenal FC,Arsenal FC,ucl-arsenal-fc,ENG
Aston Villa FC,Aston Villa FC,ucl-aston-villa-fc,ENG
Atalanta,Atalanta,ucl-atalanta,ITA
Atalanta BC,Atalanta,ucl-atalanta,ITA
Athletic Club,Athletic Club,ucl-athletic-club,ESP
Atlético Madrid,Atlético Madrid,ucl-atletico-madrid,ESP
Club Atlético de Madrid,Atlético Madrid,ucl-atletico-madrid,ESP
Austria Wien,Austria Wien,ucl-austria-wien,AUT
BATE Borisov,BATE Borisov,ucl-bate-borisov,BLR
BSC Young Boys,BSC Young Boys,ucl-bsc-young-boys,SUI
Bayer 04 Leverkusen,Bayer Leverkusen,ucl-bayer-leverkusen,GER
Bayer Leverkusen,Bayer Leverkusen,ucl-bayer-leverkusen,GER
Bayern München,Bayern Munich,ucl-bayern-munich,GER
FC Bayern München,Bayern Munich,ucl-bayern-munich,GER
SL Benfica,Benfica,ucl-benfica,POR
Sport Lisboa e Benfica,Benfica,ucl-benfica,POR
Beşiktaş,Beşiktaş,ucl-besiktas,TUR
Bologna FC 1909,Bologna FC 1909,ucl-bologna-fc-1909,ITA
Bor. Mönchengladbach,Bor. Mönchengladbach,ucl-bor-monchengladbach,GER
Borac Banja Luka,Borac Banja Luka,ucl-borac-banja-luka,BIH
Borussia Dortmund,Borussia Dortmund,ucl-borussia-dortmund,GER
Sporting Braga,Braga,ucl-braga,POR
Sporting Clube de Braga,Braga,ucl-braga,POR
Breiðablik,Breiðablik,ucl-brei-ablik,ISL
CFR Cluj,CFR Cluj,ucl-cfr-cluj,ROU
CS Petrocub,CS Petrocub,ucl-cs-petrocub,MDA
CSKA Moskva,CSKA Moskva,ucl-cska-moskva,RUS
Celtic FC,Celtic FC,ucl-celtic-fc,SCO
Chelsea FC,Chelsea FC,ucl-chelsea-fc,ENG
Club Brugge KV,Club Brugge KV,ucl-club-brugge-kv,BEL
Crvena Zvezda,Crvena Zvezda,ucl-crvena-zvezda,SRB
FK Crvena Zvezda,Crvena Zvezda,ucl-crvena-zvezda,SRB
Dinamo Batumi,Dinamo Batumi,ucl-dinamo-batumi,GEO
Dinamo Kiev,Dinamo Kiev,ucl-dinamo-kiev,UKR
Dinamo Minsk,Dinamo Minsk,ucl-dinamo-minsk,BLR
Dinamo Zagreb,Dinamo Zagreb,ucl-dinamo-zagreb,CRO
GNK Dinamo Zagreb,Dinamo Zagreb,ucl-dinamo-zagreb,CRO
Egnatia Rrogozhine,Egnatia Rrogozhine,ucl-egnatia-rrogozhine,ALB
Eintracht Frankfurt,Eintracht Frankfurt,ucl-eintracht-frankfurt,GER
FC Barcelona,FC Barcelona,ucl-fc-barcelona,ESP
FC Basel 1893,FC Basel 1893,ucl-fc-basel-1893,SUI
FC Differdange 03,FC Differdange 03,ucl-fc-differdange-03,LUX
FC Flora,FC Flora,ucl-fc-flora,EST
FC Iberia 1999,FC Iberia 1999,ucl-fc-iberia-1999,GEO
FC København,FC København,ucl-fc-k-benhavn,DEN
FC Lugano,FC Lugano,ucl-fc-lugano,SUI
FC Midtjylland,FC Midtjylland,ucl-fc-midtjylland,DEN
