team_id,team_name,association_code,latest_elo,matches,goals_for,goals_against,first_season,last_season,last_match_date,source_variants
ucl-bayern-munich,Bayern Munich,GER,1674.54,173,429,172,2011-12,2025-26,2026-05-06,Bayern München | FC Bayern München
ucl-paris-saint-germain,Paris Saint-Germain,FRA,1652.41,149,321,166,2012-13,2025-26,2026-05-30,Paris Saint-Germain | Paris Saint-Germain FC
ucl-arsenal-fc,Arsenal FC,ENG,1650.0,87,163,96,2011-12,2025-26,2026-05-30,Arsenal FC
ucl-real-madrid,Real Madrid,ESP,1630.07,182,410,206,2011-12,2025-26,2026-04-15,Real Madrid | Real Madrid CF
ucl-fc-barcelona,FC Barcelona,ESP,1607.2,154,338,185,2011-12,2025-26,2026-04-14,FC Barcelona
ucl-liverpool-fc,Liverpool FC,ENG,1599.31,93,190,97,2014-15,2025-26,2026-04-14,Liverpool FC
ucl-manchester-city,Manchester City,ENG,1591.02,145,303,175,2011-12,2025-26,2026-03-17,Manchester City | Manchester City FC
ucl-inter-milan,Inter Milan,ITA,1583.88,80,114,87,2011-12,2025-26,2026-02-24,FC Internazionale Milano | Inter
ucl-atletico-madrid,Atlético Madrid,ESP,1567.62,131,200,135,2013-14,2025-26,2026-05-05,Atlético Madrid | Club Atlético de Madrid
ucl-chelsea-fc,Chelsea FC,ENG,1563.37,106,197,112,2011-12,2025-26,2026-03-17,Chelsea FC
ucl-borussia-dortmund,Borussia Dortmund,GER,1557.16,130,228,176,2011-12,2025-26,2026-02-25,Borussia Dortmund
ucl-tottenham-hotspur,Tottenham Hotspur,ENG,1552.61,53,92,72,2016-17,2025-26,2026-03-18,Tottenham Hotspur | Tottenham Hotspur FC
ucl-juventus,Juventus,ITA,1545.52,120,185,124,2012-13,2025-26,2026-02-25,Juventus | Juventus FC
ucl-fk-bod-glimt,FK Bodø/Glimt,NOR,1543.42,20,42,27,2024-25,2025-26,2026-03-17,FK Bodø/Glimt
ucl-aston-villa-fc,Aston Villa FC,ENG,1541.71,12,23,12,2024-25,2024-25,2025-04-15,Aston Villa FC
ucl-fc-porto,FC Porto,POR,1529.89,94,145,112,2011-12,2023-24,2024-03-12,FC Porto
ucl-newcastle-united-fc,Newcastle United FC,ENG,1528.44,18,35,25,2023-24,2025-26,2026-03-18,Newcastle United FC
ucl-ferencvarosi-tc,Ferencvárosi TC,HUN,1523.51,16,26,30,2020-21,2025-26,2025-08-27,Ferencvárosi TC
